Agent,iteration,states_explored,solution_found,path_cost
BFS,0,,False,0
DFS,0,,False,0
DFS-L,0,,False,0
BFS,1,,False,0
DFS,1,,False,0
DFS-L,1,,False,0
BFS,2,2040,True,65
DFS,2,1809,True,65
DFS-L,2,1809,True,65
BFS,3,,False,0
DFS,3,,False,0
DFS-L,3,,False,0
BFS,4,,False,0
DFS,4,,False,0
DFS-L,4,,False,0
BFS,5,,False,0
DFS,5,,False,0
DFS-L,5,,False,0
BFS,6,4056,True,82
DFS,6,1321,True,82
DFS-L,6,1321,True,82
BFS,7,,False,0
DFS,7,,False,0
DFS-L,7,,False,0
BFS,8,,False,0
DFS,8,,False,0
DFS-L,8,,False,0
BFS,9,3290,True,82
DFS,9,1003,True,82
DFS-L,9,1003,True,82
BFS,10,,False,0
DFS,10,,False,0
DFS-L,10,,False,0
BFS,11,,False,0
DFS,11,,False,0
DFS-L,11,,False,0
BFS,12,,False,0
DFS,12,,False,0
DFS-L,12,,False,0
BFS,13,,False,0
DFS,13,,False,0
DFS-L,13,,False,0
BFS,14,,False,0
DFS,14,,False,0
DFS-L,14,,False,0
BFS,15,2278,True,51
DFS,15,612,True,51
DFS-L,15,612,True,51
BFS,16,1554,True,46
DFS,16,1196,True,46
DFS-L,16,1196,True,46
BFS,17,,False,0
DFS,17,,False,0
DFS-L,17,,False,0
BFS,18,,False,0
DFS,18,,False,0
DFS-L,18,,False,0
BFS,19,1652,True,49
DFS,19,1611,True,49
DFS-L,19,1611,True,49
BFS,20,3877,True,81
DFS,20,4363,True,81
DFS-L,20,,False,0
BFS,21,,False,0
DFS,21,,False,0
DFS-L,21,,False,0
BFS,22,,False,0
DFS,22,,False,0
DFS-L,22,,False,0
BFS,23,,False,0
DFS,23,,False,0
DFS-L,23,,False,0
BFS,24,,False,0
DFS,24,,False,0
DFS-L,24,,False,0
BFS,25,,False,0
DFS,25,,False,0
DFS-L,25,,False,0
BFS,26,,False,0
DFS,26,,False,0
DFS-L,26,,False,0
BFS,27,,False,0
DFS,27,,False,0
DFS-L,27,,False,0
BFS,28,,False,0
DFS,28,,False,0
DFS-L,28,,False,0
BFS,29,,False,0
DFS,29,,False,0
DFS-L,29,,False,0
